City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Jamestown,US,2020-08-18 18:06:30,42.1,-79.24,72.0,56,75,11.41
70,Sillod,IN,2020-08-18 18:06:31,20.3,75.65,73.4,89,100,13.11
71,Khatanga,RU,2020-08-18 18:06:31,71.97,102.5,52.32,71,60,13.67
72,Hobart,AU,2020-08-18 18:06:31,-42.88,147.33,42.8,87,94,6.93
73,Jalu,LY,2020-08-18 18:06:31,29.03,21.55,90.3,23,0,6.04
74,Sitka,US,2020-08-18 18:06:31,57.05,-135.33,55.4,87,40,1.83
75,Butaritari,KI,2020-08-18 18:06:31,3.07,172.79,82.24,75,31,9.33
76,Saint-Philippe,RE,2020-08-18 18:06:31,-21.36,55.77,69.8,68,42,3.36
77,Bathsheba,BB,2020-08-18 18:06:31,13.22,-59.52,86.0,74,75,12.75
78,Tautira,PF,2020-08-18 18:01:37,-17.73,-149.15,77.0,69,20,4.7
79,Beringovskiy,RU,2020-08-18 18:06:31,63.05,179.32,49.35,62,22,12.19
80,Havoysund,NO,2020-08-18 18:06:31,71.0,24.66,48.2,100,75,16.11
81,Padang,ID,2020-08-18 18:06:31,-0.95,100.35,78.58,75,77,3.69
82,Launceston,AU,2020-08-18 18:03:12,-41.45,147.17,45.0,93,90,9.17
83,Tadine,NC,2020-08-18 18:06:32,-21.55,167.88,68.16,71,63,7.52
84,Baruun-Urt,MN,2020-08-18 18:06:32,46.68,113.28,48.18,82,34,7.58
85,Dire Dawa,ET,2020-08-18 18:06:32,9.59,41.87,75.07,60,87,14.0
86,Lasa,IT,2020-08-18 18:06:32,46.62,10.7,62.6,59,75,2.24
87,Sorland,NO,2020-08-18 18:03:04,67.67,12.69,51.8,76,90,2.24
88,Kyshtovka,RU,2020-08-18 18:06:32,56.55,76.63,53.29,91,44,7.76
89,Panlaitan,PH,2020-08-18 18:06:32,12.12,119.85,82.53,76,100,8.63
90,Bitung,ID,2020-08-18 18:06:32,1.45,125.18,75.2,78,20,1.12
91,Kaitangata,NZ,2020-08-18 18:06:32,-46.28,169.85,46.99,61,100,3.38
92,Thompson,CA,2020-08-18 18:06:32,55.74,-97.86,66.2,63,75,6.93
93,La Ronge,CA,2020-08-18 18:06:32,55.1,-105.28,73.4,73,20,12.75
94,Boa Vista,BR,2020-08-18 18:06:33,2.82,-60.67,89.6,55,75,6.93
95,Faanui,PF,2020-08-18 18:06:33,-16.48,-151.75,77.74,78,62,17.27
96,Lima,PE,2020-08-18 18:05:23,-12.04,-77.03,60.8,82,90,6.93
97,Cabo San Lucas,MX,2020-08-18 18:04:53,22.89,-109.91,89.6,62,75,5.82
98,Rocha,UY,2020-08-18 18:06:33,-34.48,-54.33,65.28,56,0,8.46
99,Hithadhoo,MV,2020-08-18 18:06:33,-0.6,73.08,84.07,75,5,10.47
