City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Arlit,NE,18.74,7.39,102.72,11,1,12.24,clear sky
83,Villa Maria,AR,-32.41,-63.24,62.82,27,0,13.76,clear sky
84,Lorengau,PG,-2.02,147.27,82.85,72,46,8.59,scattered clouds
85,Lexington,US,37.99,-84.48,80.01,69,90,11.41,overcast clouds
86,Mount Gambier,AU,-37.83,140.77,44.6,87,75,12.75,broken clouds
87,Turangi,NZ,-39.0,175.93,45.0,93,90,3.83,overcast clouds
88,Norman Wells,CA,65.28,-126.83,62.6,59,75,18.34,broken clouds
89,Tashtagol,RU,52.77,87.89,54.05,90,100,3.04,overcast clouds
90,Torbay,CA,47.67,-52.73,72.0,49,40,21.92,scattered clouds
91,Melilla,ES,35.29,-2.94,87.8,20,0,6.93,clear sky
92,Havoysund,NO,71.0,24.66,57.2,82,100,8.05,overcast clouds
93,Shimoda,JP,34.67,138.95,75.0,90,0,1.99,clear sky
94,Saskylakh,RU,71.92,114.08,35.42,90,19,6.26,few clouds
95,Atuona,PF,-9.8,-139.03,78.53,79,7,15.32,clear sky
96,Mehamn,NO,71.04,27.85,57.2,82,75,11.41,broken clouds
97,Merauke,ID,-8.47,140.33,72.97,87,0,10.38,clear sky
98,Hilo,US,19.73,-155.09,77.0,83,90,5.82,overcast clouds
99,Tera,NE,14.01,0.75,97.05,32,97,2.95,overcast clouds
100,Roma,US,43.21,-75.46,81.0,51,1,13.87,clear sky
101,Lebu,CL,-37.62,-73.65,54.28,69,0,16.49,clear sky
102,Carlsbad,US,33.16,-117.35,88.0,74,1,10.29,clear sky
103,Port Hedland,AU,-20.32,118.57,60.8,51,0,5.82,clear sky
104,San Quintin,MX,30.48,-115.95,85.14,51,0,10.92,clear sky
105,Nikolskoye,RU,59.7,30.79,68.0,60,0,2.24,clear sky
106,Bud,US,39.45,-86.18,82.99,58,100,4.56,overcast clouds
107,Asau,RO,46.43,26.4,64.0,88,1,3.13,clear sky
108,Cherskiy,RU,68.75,161.3,39.2,82,100,13.58,overcast clouds
109,Alexandria,EG,31.22,29.96,80.6,69,20,16.11,few clouds
110,Bathsheba,BB,13.22,-59.52,87.8,74,75,11.41,broken clouds
111,New Norfolk,AU,-42.78,147.06,35.01,87,4,2.26,clear sky
112,Bethel,US,41.37,-73.41,86.0,51,20,9.17,few clouds
113,Dingle,PH,11.0,122.67,75.78,89,0,1.01,clear sky
114,Tabas,IR,33.6,56.92,98.6,12,0,4.7,clear sky
115,Basar,IN,27.98,94.67,71.78,92,28,0.65,light rain
116,Pryazha,RU,61.69,33.62,62.6,88,0,3.67,clear sky
117,Port Lincoln,AU,-34.73,135.87,49.62,67,10,20.47,clear sky
118,Elesbao Veloso,BR,-6.2,-42.14,98.01,21,100,4.25,overcast clouds
119,Namatanai,PG,-3.67,152.43,78.48,85,4,4.56,clear sky
120,Urucara,BR,-2.54,-57.76,102.24,20,17,5.86,few clouds
121,Guerrero Negro,MX,27.98,-114.06,96.19,35,80,24.32,broken clouds
122,Bethanien,NA,-26.5,17.16,56.3,27,0,9.1,clear sky
123,Saint-Philippe,RE,-21.36,55.77,68.0,60,20,6.93,few clouds
124,Yumen,CN,40.28,97.2,72.57,36,93,4.81,overcast clouds
125,Bredasdorp,ZA,-34.53,20.04,55.4,87,80,2.24,broken clouds
126,Nassau,US,40.75,-73.58,84.0,57,1,12.75,clear sky
127,Cidreira,BR,-30.18,-50.21,52.92,51,0,10.83,clear sky
128,Severo-Kurilsk,RU,50.68,156.12,52.32,73,0,12.24,clear sky
129,Airai,TL,-8.93,125.41,57.56,52,0,3.29,clear sky
130,Kavaratti,IN,10.57,72.64,82.17,82,100,12.97,light rain
131,Santa Maria,BR,-29.68,-53.81,55.4,32,0,3.36,clear sky
132,Turinsk,RU,58.05,63.7,52.23,96,0,5.82,clear sky
133,Calvillo,MX,21.85,-102.72,71.6,60,75,1.28,broken clouds
134,Puerto Ayora,EC,-0.74,-90.35,75.2,57,75,20.8,broken clouds
135,Naze,JP,28.37,129.48,77.0,94,0,3.36,mist
136,Aktau,KZ,43.65,51.2,69.8,77,75,11.18,thunderstorm
137,Dandong,CN,40.13,124.39,67.55,94,78,3.0,broken clouds
138,Port-Gentil,GA,-0.72,8.78,77.0,78,75,13.09,broken clouds
139,Mormugao,IN,15.4,73.8,78.8,100,75,6.93,broken clouds
140,Ozuluama,MX,21.67,-97.85,89.6,62,40,4.7,scattered clouds
141,Kushmurun,KZ,52.45,64.63,57.36,86,100,5.91,overcast clouds
142,Loanda,AO,-8.84,13.23,71.6,88,0,5.82,clear sky
143,Sao Joao Da Barra,BR,-21.64,-41.05,71.6,64,90,13.87,overcast clouds
144,Cairns,AU,-16.92,145.77,62.6,88,64,4.09,broken clouds
145,Pemberton,CA,50.32,-122.8,57.2,100,90,4.7,light rain
146,Chara,RU,56.91,118.26,51.31,70,0,2.59,clear sky
147,Thompson,CA,55.74,-97.86,59.0,77,75,9.17,broken clouds
