City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
186,Poum,NC,70.61,clear sky,-20.23,164.02,Gîte kajeon
187,Georgetown,MY,80.6,light rain,5.41,100.34,Cititel Penang
194,Sakaiminato,JP,77.0,scattered clouds,35.55,133.23,味処・民宿 まつや
195,Caravelas,BR,73.76,light rain,-17.71,-39.25,Pousada dos Navegantes
204,Mitsamiouli,KM,75.2,few clouds,-11.38,43.28,Foyer ADM
207,Jaffna,LK,80.87,overcast clouds,9.67,80.01,Green Grass Hotel & Restaurant
209,Faanui,PF,77.63,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
212,Dong Hoi,VN,78.55,light rain,17.48,106.6,Nam Long Hotel
213,Viedma,AR,73.0,clear sky,-40.81,-63.0,Hotel Cristal
214,Banda Aceh,ID,79.14,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
218,Danville,US,71.01,heavy intensity rain,36.59,-79.39,Holiday Inn Express Danville
219,Monte Patria,CL,77.18,clear sky,-30.69,-70.95,Hotel Monte Cordillera
221,Ponta Do Sol,PT,77.0,scattered clouds,32.67,-17.1,Hotel do Campo
222,Netivot,IL,81.0,clear sky,31.42,34.59,Catering Gato - kosher catering Dairy
223,Sibolga,ID,77.0,light rain,1.74,98.78,Hotel Syariah CN Darussalam
224,Troy,US,90.0,clear sky,42.61,-83.15,Embassy Suites by Hilton Detroit Troy Auburn Hills
228,Katsuura,JP,80.01,clear sky,35.13,140.3,Katsuura Hotel Mikazuki
229,Axim,GH,75.33,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
232,Champerico,GT,87.8,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
234,Radzyn Podlaski,PL,73.4,few clouds,51.78,22.62,Hotel Manhatan
235,Atikokan,CA,82.47,broken clouds,48.76,-91.62,Camp Quetico
236,Morro Bay,US,84.99,smoke,35.37,-120.85,Inn at Morro Bay
237,Cascais,PT,73.99,few clouds,38.7,-9.42,Hotel Vila Galé Cascais
238,Machali,CL,73.4,clear sky,-34.18,-70.67,Residencial Aquelarre
239,Sagae,JP,75.0,broken clouds,38.37,140.27,Hotel Symphony
240,Kailua,US,82.4,few clouds,21.4,-157.74,Sheffield House Bed & Breakfast
242,Mahebourg,MU,71.6,broken clouds,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
244,Gorontalo,ID,74.62,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
245,Souillac,MU,71.6,broken clouds,-20.52,57.52,Bils' Villa
246,Vila Velha,BR,71.6,broken clouds,-20.33,-40.29,Hotel Vitória Palace
247,Nantucket,US,73.4,clear sky,41.28,-70.1,Jared Coffin House
248,Garachine,PA,80.92,light rain,8.06,-78.36,
249,Honiara,SB,75.2,few clouds,-9.43,159.95,Heritage Park Hotel
250,Teguise,ES,80.6,few clouds,29.06,-13.56,B&B La Casona de Nazaret
253,Cove,BJ,74.62,overcast clouds,7.22,2.34,Hotel TG
255,Kulai,MY,79.0,few clouds,1.66,103.6,Hotel U and Me
256,Cabo San Lucas,MX,84.99,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
259,Portland,US,73.4,broken clouds,45.52,-122.68,Portland Marriott City Center
260,Gizo,SB,82.02,light rain,-8.1,156.84,Imagination Island
261,Carutapera,BR,84.65,clear sky,-1.2,-46.02,Lidera
262,Nishihara,JP,84.2,few clouds,26.18,127.76,Minshuku Agaihama
264,Ariyalur,IN,82.4,broken clouds,11.13,79.08,Sri Renga Rooms and Lodge A/C
266,Leiyang,CN,78.57,moderate rain,26.4,112.86,Dongyang Hotel
268,Hithadhoo,MV,82.49,light rain,-0.6,73.08,Scoop Guest House
272,Auki,SB,77.41,overcast clouds,-8.77,160.7,Auki Motel
273,Manggar,ID,81.34,overcast clouds,-2.88,108.27,Guest Hotel
